timestamp,file_name,media_type,status,action
# timestamp → When event occurred
# file_name → Media file detected
# media_type → Type of Media ie Tv Show or Movie ect.
# status → Example: healthy / needs_rename / duplicate
# action → Example: scanned / renamed / flagged
2026-05-16 21:58:13.095146,test_media/Tv/Game Of Thrones/Season 2/Game.Of.ThronesS02E01.txt,TV Show,valid,scanned
2026-05-16 21:58:13.095291,test_media/Tv/Game Of Thrones/Season 1/Game.Of.ThronesS01E01.txt,TV Show,valid,scanned
2026-05-16 21:58:13.095430,test_media/Tv/Breaking Bad/Season 2/Breaking.Bad.S02E01.txt,TV Show,valid,scanned
2026-05-16 21:58:13.095581,test_media/Tv/Breaking Bad/Season 1/badfile.txt,TV Show,needs_rename,scanned
2026-05-16 21:58:13.095716,test_media/Tv/Breaking Bad/Season 1/Breaking.Bad.S01E01.txt,TV Show,valid,scanned
2026-05-16 21:58:13.096005,test_media/Movies/The Matrix (1999)/The.Matrix.1999.1080p.mkv,Movie,valid,scanned
2026-05-16 21:58:13.096133,test_media/Movies/Blade Runner 2049 (2017)/Blade.Runner.2049.2017.1080p.mkv,Movie,valid,scanned
2026-05-16 21:58:17.896317,test_media/Tv/Game Of Thrones/Season 2/Game.Of.ThronesS02E01.txt,TV Show,valid,scanned
2026-05-16 21:58:17.896471,test_media/Tv/Game Of Thrones/Season 1/Game.Of.ThronesS01E01.txt,TV Show,valid,scanned
2026-05-16 21:58:17.896635,test_media/Tv/Breaking Bad/Season 2/Breaking.Bad.S02E01.txt,TV Show,valid,scanned
2026-05-16 21:58:17.896744,test_media/Tv/Breaking Bad/Season 1/badfile.txt,TV Show,needs_rename,scanned
2026-05-16 21:58:17.896827,test_media/Tv/Breaking Bad/Season 1/Breaking.Bad.S01E01.txt,TV Show,valid,scanned
2026-05-16 21:58:17.896991,test_media/Movies/The Matrix (1999)/The.Matrix.1999.1080p.mkv,Movie,valid,scanned
2026-05-16 21:58:17.897095,test_media/Movies/Blade Runner 2049 (2017)/Blade.Runner.2049.2017.1080p.mkv,Movie,valid,scanned
2026-05-16 22:00:19.568559,test_media/Tv/Game Of Thrones/Season 2/Game.Of.ThronesS02E01.txt,TV Show,valid,scanned
2026-05-16 22:00:19.568740,test_media/Tv/Game Of Thrones/Season 1/Game.Of.ThronesS01E01.txt,TV Show,valid,scanned
2026-05-16 22:00:19.568900,test_media/Tv/Breaking Bad/Season 2/Breaking.Bad.S02E01.txt,TV Show,valid,scanned
2026-05-16 22:00:19.569015,test_media/Tv/Breaking Bad/Season 1/badfile.txt,TV Show,needs_rename,scanned
2026-05-16 22:00:19.569100,test_media/Tv/Breaking Bad/Season 1/Breaking.Bad.S01E01.txt,TV Show,valid,scanned
